3.16456	0
3.25452	0.0899623
3.19849	0.0764033
3.19	0.0546871
3.12507	0.0775303
3.11547	0.0640266
3.09181	0.0590587
3.09233	0.051149
3.1216	0.0537699
3.12096	0.0480974
3.10383	0.046756
3.12204	0.0464014
3.13409	0.0443514
3.13068	0.0412024
3.12522	0.038744
3.12958	0.0365023
3.1232	0.0348761
3.12384	0.0328878
3.13784	0.0341136
3.13339	0.0326679
3.13929	0.0316289
3.12912	0.0318271
3.12482	0.0307138
3.1286	0.0296476
3.13044	0.0284965
3.12484	0.0279436
3.12521	0.0268912
3.12349	0.0259704
3.12847	0.0255493
3.13001	0.0247308
3.1348	0.0243959
3.1446	0.0255719
3.14031	0.0251536
3.13929	0.0244239
3.14206	0.0238771
3.15123	0.024951
3.15186	0.0242755
3.1509	0.0236476
3.15255	0.0230927
3.15791	0.0231377
3.15735	0.0225733
3.15776	0.0220331
3.16263	0.0220581
3.16753	0.0221017
3.16724	0.0216069
3.16675	0.0211377
3.16757	0.0206991
3.16509	0.0204139
3.16763	0.0201534
3.17029	0.0199238
3.16683	0.0198327
3.16796	0.0194806
3.17026	0.0192466
3.16906	0.0189247
3.16773	0.0186249
3.17049	0.0184963
3.17146	0.0181948
3.17117	0.0178807
3.16817	0.0178297
3.16665	0.0175959
3.16549	0.0173437
3.16243	0.0173327
3.15785	0.017661
3.15487	0.0176358
3.15472	0.0173631
3.15339	0.017149
3.15447	0.0169257
3.1539	0.0166849
3.15391	0.0164413
3.15281	0.016242
3.15413	0.0160662
3.15306	0.0158777
3.15228	0.0156782
3.15258	0.0154678
3.15274	0.015261
3.15237	0.0150633
3.15415	0.0149726
3.15257	0.0148645
3.15234	0.0146768
3.15249	0.014493
3.14967	0.0145884
3.15099	0.0144691
3.15359	0.0145287
3.15445	0.0143804
3.15457	0.0142107
3.15784	0.0144218
3.15899	0.0143009
3.15612	0.0144246
3.15888	0.0145253
3.16082	0.0144933
3.16086	0.0143332
3.1609	0.0141766
3.16182	0.0140537
3.16164	0.0139045
3.16265	0.0137942
3.1607	0.0137873
3.16034	0.0136494
3.15988	0.0135172
3.15952	0.0133846
3.15918	0.0132546
