                   1           -0.430528           -0.430528                   0
                   2           -0.350384           -0.390456            0.028335
                   3           -0.348219           -0.376377           0.0221129
                   4           -0.407321           -0.384113           0.0178868
                   5           -0.376966           -0.382684           0.0143664
                   6           -0.461962           -0.395897           0.0169946
                   7           -0.463456           -0.405548           0.0170889
                   8           -0.391815           -0.403831           0.0150388
                   9           -0.421467           -0.405791           0.0134949
                  10           -0.410011           -0.406213            0.012152
                  11           -0.378305           -0.403676            0.011309
                  12           -0.372881           -0.401109           0.0106538
                  13           -0.399409           -0.400979          0.00983507
                  14           -0.358987           -0.397979          0.00957901
                  15           -0.396181           -0.397859          0.00894116
                  16           -0.384478           -0.397023          0.00842137
                  17           -0.398345           -0.397101          0.00792635
                  18           -0.444006           -0.399707          0.00790275
                  19           -0.415669           -0.400547          0.00753134
                  20           -0.411489           -0.401094          0.00717462
                  21           -0.450886           -0.403465          0.00721413
                  22           -0.466832           -0.406345          0.00743904
                  23           -0.486399           -0.409826          0.00788794
                  24           -0.351161           -0.407381          0.00792897
                  25           -0.342263           -0.404777          0.00802826
                  26           -0.367823           -0.403355          0.00784428
                  27            -0.40469           -0.403405          0.00755391
                  28           -0.436868             -0.4046          0.00737806
                  29           -0.446656            -0.40605          0.00726477
                  30           -0.411886           -0.406245          0.00702522
